time meanMaxDtOverlap maxDtOverlap meanRelativeMaxDtOverlap maxRelativeDtOverlap
0 0 0 0 0
0.01005 0.00192383 0.00915508 0.853993 3.95613
0.02 0.000506448 0.00252472 0.224837 1.17702
0.03 0.00023669 0.0011205 0.105093 0.48973
0.04 0.000144919 0.00065124 0.0643536 0.298734
0.05 9.50113e-05 0.000314915 0.0421922 0.144855
0.06 6.49269e-05 0.000589141 0.0288321 0.274914
0.07 4.71558e-05 0.000216841 0.0209592 0.0979849
0.08005 3.70598e-05 0.000114075 0.0164567 0.0532313
0.09005 3.53245e-05 0.000124215 0.015709 0.0572682
0.10005 4.32035e-05 0.000405231 0.0192145 0.17377
0.11005 6.31238e-05 0.000177824 0.0280845 0.0798969
0.12005 8.28689e-05 0.000161119 0.0368464 0.0740007
0.13005 7.38481e-05 0.00014959 0.0328136 0.0670206
0.14005 5.48445e-05 0.000166984 0.0243537 0.0747468
0.15005 4.56037e-05 0.000193926 0.020227 0.0892844
0.16005 4.15591e-05 0.000166938 0.0184102 0.0736708
0.17005 4.16061e-05 0.000818175 0.0184162 0.353576
0.18005 3.76623e-05 0.000150799 0.0167043 0.0703353
0.19005 3.17593e-05 0.000414541 0.014081 0.17723
0.20005 2.56779e-05 0.000169559 0.0113856 0.0773888
0.21005 2.43439e-05 0.000208653 0.0108071 0.0971837
0.22005 2.03576e-05 0.000131749 0.00901487 0.0587116
0.23005 1.45421e-05 7.44277e-05 0.00644318 0.0336777
0.24005 1.31963e-05 8.52742e-05 0.00584591 0.037632
0.25005 1.26898e-05 3.65837e-05 0.00561806 0.0161446
0.26005 1.22585e-05 4.15899e-05 0.00543031 0.018059
0.27005 1.35542e-05 5.20173e-05 0.00600826 0.0236765
0.28005 1.45433e-05 6.69489e-05 0.00644659 0.0311825
0.29005 1.3444e-05 6.65641e-05 0.00595848 0.0310033
0.30005 1.3802e-05 6.77597e-05 0.00611498 0.0309876
0.31005 1.28308e-05 5.82552e-05 0.00568858 0.0266807
0.32005 1.04738e-05 3.48837e-05 0.0046416 0.0152664
0.33005 9.34529e-06 3.49269e-05 0.00414069 0.0152853
0.34005 9.32281e-06 3.47304e-05 0.00413004 0.0151993
0.35005 9.01747e-06 3.33688e-05 0.00399712 0.0146034
0.36005 8.06816e-06 3.07369e-05 0.00357466 0.0134516
0.37005 7.92293e-06 3.00287e-05 0.00351113 0.0131417
0.38005 7.91788e-06 3.214e-05 0.00350734 0.0140656
0.39005 7.47494e-06 3.07634e-05 0.00331096 0.0134632
0.40005 6.93051e-06 3.15999e-05 0.00306854 0.0138293
0.41005 7.23919e-06 3.25851e-05 0.00320573 0.0142604
